title	category
# Hotová jídla / klasické české obědy
Svíčková na smetaně	Hotová jídla
Vepřo knedlo zelo	Hotová jídla
Hovězí guláš	Hotová jídla
Vepřový guláš	Hotová jídla
Segedínský guláš	Hotová jídla
Smažený sýr	Hotová jídla
Smažený řízek vepřový	Hotová jídla
Smažený řízek kuřecí	Hotová jídla
Kuřecí řízek přírodní	Hotová jídla
Vepřová pečeně	Hotová jídla
Pečené koleno	Hotová jídla
Hovězí na rajčatech	Hotová jídla
Hovězí na houbách	Hotová jídla
Rajská omáčka	Hotová jídla
Koprová omáčka	Hotová jídla
Houbová omáčka	Hotová jídla
Křenová omáčka	Hotová jídla
Bramborák	Hotová jídla
Bramborový salát	Hotová jídla
Šunkofleky	Hotová jídla
Plněná paprika	Hotová jídla
Plněné papriky v rajské omáčce	Hotová jídla
Halušky bramborové	Hotová jídla
Halušky s brynzou	Hotová jídla
Buchtičky se šodó	Hotová jídla
Špenát se smetanou	Hotová jídla
Kuřecí kung pao	Hotová jídla
Kuřecí na paprice	Hotová jídla
Kuřecí na smetaně	Hotová jídla
Krůtí závitek	Hotová jídla
Lečo	Hotová jídla
Tatarský biftek	Hotová jídla
Roštěná na cibulce	Hotová jídla
Pražská šunka od kosti	Hotová jídla
Vepřové výpečky	Hotová jídla
Telecí ragú	Hotová jídla
Žemlovka	Hotová jídla
Ovocné knedlíky	Hotová jídla
Tvarohové knedlíky	Hotová jídla
# Polévky
Hovězí vývar s nudlemi	Polévky
Slepičí vývar s nudlemi	Polévky
Česnečka	Polévky
Bramborová polévka	Polévky
Gulášová polévka	Polévky
Zelňačka	Polévky
Kulajda	Polévky
Frankfurtská polévka	Polévky
Květáková polévka	Polévky
Hrachová polévka	Polévky
Čočková polévka	Polévky
Rajská polévka	Polévky
Žampionová polévka	Polévky
Boršč	Polévky
Drštková polévka	Polévky
# Pečivo
Rohlík tukový	Pečivo
Rohlík obyčejný	Pečivo
Houska	Pečivo
Kaiserka	Pečivo
Veka	Pečivo
Bageta světlá	Pečivo
Bageta tmavá	Pečivo
Chléb pšenično-žitný	Pečivo
Chléb šumava	Pečivo
Chléb konzumní	Pečivo
Chléb celozrnný	Pečivo
Chléb cereální	Pečivo
Chléb žitný	Pečivo
Vánočka	Pečivo
Mazanec	Pečivo
Bábovka	Pečivo
Koláč švestkový	Pečivo
Koláč tvarohový	Pečivo
Koláč makový	Pečivo
Koláč povidlový	Pečivo
Buchta tvarohová	Pečivo
Buchta s mákem	Pečivo
Šáteček	Pečivo
Loupák	Pečivo
Croissant máslový	Pečivo
Bramborák ze smažírny	Pečivo
Žemle	Pečivo
Slunečnicový chléb	Pečivo
Knäckebrot	Pečivo
Toastový chléb	Pečivo
# Maso a ryby
Kuřecí prsa	Maso
Kuřecí stehno	Maso
Kuřecí křídla	Maso
Kuřecí játra	Maso
Krůtí prsa	Maso
Krůtí stehno	Maso
Vepřová panenka	Maso
